epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,10049.8,0.7804,0.43348,1.09828,0.99401,0.98929,0.99364,0.85861,0.60242,0.28989,0.96607,0.000212349,0.000212349,0.000212349
88,10165,0.76904,0.42556,1.09702,0.99419,0.98913,0.99383,0.85526,0.60995,0.29129,0.96975,0.000198202,0.000198202,0.000198202
89,10279.7,0.76936,0.42237,1.10568,0.99483,0.99046,0.99362,0.85397,0.61281,0.29039,0.97405,0.000184055,0.000184055,0.000184055
90,10394.7,0.77257,0.42513,1.09256,0.99373,0.99092,0.99407,0.85988,0.59311,0.28375,0.96645,0.000169908,0.000169908,0.000169908
91,10510.2,0.71512,0.33941,1.06621,0.99223,0.9914,0.99424,0.8521,0.61217,0.29197,0.97219,0.000155761,0.000155761,0.000155761
92,10626,0.69796,0.33018,1.05373,0.99529,0.98903,0.99444,0.85599,0.59843,0.28872,0.96594,0.000141614,0.000141614,0.000141614
93,10741.8,0.67839,0.31685,1.04806,0.99461,0.9901,0.99448,0.85644,0.59607,0.2855,0.96464,0.000127467,0.000127467,0.000127467
94,10857.2,0.67808,0.32065,1.04458,0.99439,0.99093,0.9945,0.85923,0.59272,0.28391,0.96165,0.00011332,0.00011332,0.00011332
95,10972.8,0.66859,0.31283,1.0347,0.99511,0.99031,0.99436,0.86066,0.58724,0.28196,0.9602,9.91726e-05,9.91726e-05,9.91726e-05
96,11088.5,0.65661,0.30686,1.0256,0.99543,0.99015,0.99421,0.8639,0.57869,0.27799,0.95319,8.50255e-05,8.50255e-05,8.50255e-05
97,11204.7,0.6586,0.30626,1.0294,0.99546,0.99051,0.9945,0.864,0.58207,0.27765,0.95739,7.08784e-05,7.08784e-05,7.08784e-05
98,11320.5,0.6552,0.30556,1.03322,0.99528,0.9904,0.99455,0.86679,0.57606,0.27531,0.9526,5.67313e-05,5.67313e-05,5.67313e-05
99,11436.3,0.64831,0.30343,1.03648,0.9953,0.99051,0.99455,0.86724,0.57406,0.27445,0.95221,4.25842e-05,4.25842e-05,4.25842e-05
100,11552,0.64311,0.30152,1.03206,0.99521,0.99078,0.99458,0.86806,0.57173,0.27376,0.95253,2.84371e-05,2.84371e-05,2.84371e-05
